"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Denise","Non ho restituito e mi sono fatta un regalo! Stupenda!","Verified Purchase","Reviewed in Italy on 22 August 2021","4.5 out of 5 stars"
"2","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Ela","Das T-Shirt passt sehr gut! Es ist nicht hauteng, da ich das nicht mag, ist aber auch nicht zu weit, dass es zu groß wirken würde. Unten hat es keinen geraden Abschluss, sondern einen leichten Bogen, was mir persönlich sehr gut gefällt. Klare Kaufempfehlung!!!","Verified Purchase","Reviewed in Germany on 22 March 2022","5.0 out of 5 stars"
"3","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Niamh Kearney","Size S is more like a 10 than an 8. Lovely material","Verified Purchase","Reviewed in the United Kingdom on 27 March 2021","5.0 out of 5 stars"
"4","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Fanget","Ce tee shirt est un peu grand comme prévu. La taille M vaut bien un L.Il est aussi un peu long.Mais la couleur grise est belle et me plaît. Top!Le logo de Wonder woman semble avoir des paillettes.Bon achat surtout rapport qualité prix. A recommander.","Verified Purchase","Reviewed in France on 21 April 2021","4.0 out of 5 stars"
"5","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Elenina","È bellissima e di ottima qualità, forse un po' grandina per chi porta la 40 ma è estremamente comoda.È calda, direi che è perfetta in primavera.","Verified Purchase","Reviewed in Italy on 26 October 2022","4.0 out of 5 stars"
"6","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Wendy Bell","I ordered a size 16 in this t-shirt and it's true to size. It's a great fit! I've washed it a few times and it's still great quality. 👍","Verified Purchase","Reviewed in the United Kingdom on 29 May 2023","5.0 out of 5 stars"
"7","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","ISABEL SANTOS","Me ha encantado, es preciosa.","Verified Purchase","Reviewed in Spain on 7 October 2022","5.0 out of 5 stars"
"8","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Amazon Kunde","Super","Verified Purchase","Reviewed in Germany on 7 March 2021","5.0 out of 5 stars"
"9","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","MS","Talla concuerda con las medidas, buena calidad tejido y estampado.","Verified Purchase","Reviewed in Spain on 22 July 2022","4.0 out of 5 stars"
"10","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Rodrigues Rui jorge","Agréable et bien taillé","Verified Purchase","Reviewed in France on 18 August 2022","5.0 out of 5 stars"
"11","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Oscar Royo","De calidad aceptable, un poco cara para lo que es, y queda un poco justa de longitud, lo justo para llegar a la altura del cinturón.","Verified Purchase","Reviewed in Spain on 1 December 2023","4.5 out of 5 stars"
"12","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Claudia","Bella la stampa come da foto e anche il materiale mi sembra buono ha una vestibilita abbondante quindi attenzione alla taglia io ho preso una XL ma potava andare bene anche una L già lavata varie volte ed è sempre uguale sono contenta","Verified Purchase","Reviewed in Italy on 7 May 2021","4.0 out of 5 stars"
"13","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Amazon Kunde","Hat dem Wonderwoman gefallen. Wow","Verified Purchase","Reviewed in Germany on 8 March 2021","5.0 out of 5 stars"
"14","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Caisa Holst","Snygg tröja. Fint tryck och behaglig kvalitet.","Verified Purchase","Reviewed in Sweden on 1 July 2022","5.0 out of 5 stars"
"15","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","juan carlos","Perfecta,  muy calidad y el efecto desgastado de la camiseta esta muy bien,  talla M para 1,65 esta perfecta","Verified Purchase","Reviewed in Spain on 12 January 2021","4.0 out of 5 stars"
"16","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Sandra Butterbrodt","Das T-Shirt passt, aber hat leider nicht wie versprochen eine metallic Aufdruck.Es ist ein matter Aufdruck, der nicht ansatzweise glänzend ist.Aber okay, für diesen Preis, habe ich auch Mängel erwartet 😵‍💫","Verified Purchase","Reviewed in Germany on 30 August 2021","5.0 out of 5 stars"
"17","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Alexa","Der Umnäher am Ärmel war ausgerissen und da war ein Loch.  War ein Geschenk, daher unangenehm und ärgerlich","Verified Purchase","Reviewed in Germany on 31 August 2021","2.0 out of 5 stars"
"18","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Andrea","Maglia con vestibilità leggermente più larga .Bel tessuto e bella stampa . Taglia abituale preso una 42 .","Verified Purchase","Reviewed in Italy on 24 August 2022","1.0 out of 5 stars"
"19","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Pedro López","Ha sido para un regalo, y me ha gustado. Tela con buena calidad, y en otras tiendas la misma, salía más cara. Me ha gustado la verdad","Verified Purchase","Reviewed in Spain on 16 January 2021","5.0 out of 5 stars"
"20","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Jessica","Primero pedí una L y era exageradamente grande luego cambie a la M y todo bien, la devolución fue rápida, pero es importante tener en cuenta que las tallas son más grandes de lo habitual","Verified Purchase","Reviewed in Spain on 15 November 2020","5.0 out of 5 stars"
"21","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Proust","qualiter superbe","Verified Purchase","Reviewed in France on 3 September 2023","4.5 out of 5 stars"
"22","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Mike & Cie","J’ai dû louper la mention oversized ds le descriptif! On peut en mettre 4 comme moi dedans..Et puis ces paillettes :-/ ça fait cheapLe look vieux/vintage n’est pas au rendez vous.","Verified Purchase","Reviewed in France on 1 February 2020","5.0 out of 5 stars"
"23","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Cliente Amazon","bella, la qualità del tessuto sembra essere ottima sperando che lava dola non si sciupi subito, ma ripeto bella","Verified Purchase","Reviewed in Italy on 14 May 2021","1.0 out of 5 stars"
"24","T-shirt","DC Comics Women's Wonder Woman Metallic Logo","Cliente Amazon","Tal como se describe","Verified Purchase","Reviewed in Spain on 29 November 2023","4.0 out of 5 stars"
