"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","Levi's Women's The Perfect Tee","Véro","Les coutures sur les épaules sont accentuées, dommage cela fais bizarre","Verified Purchase","Reviewed in France on 7 January 2021","4.5 out of 5 stars"
"2","T-shirt","Levi's Women's The Perfect Tee","Client d'Amazon","sweat épais adapter pour la saison çà tien au chaud va bien avec le jeans livraison rapide j'aimerai acheter d'autre couleur mais çà deviens un peu plu cher attention prenez votre taille habituel","Verified Purchase","Reviewed in France on 29 January 2018","2.0 out of 5 stars"
"3","T-shirt","Levi's Women's The Perfect Tee","María","Buen. Precio","Verified Purchase","Reviewed in Spain on 11 August 2023","5.0 out of 5 stars"
"4","T-shirt","Levi's Women's The Perfect Tee","Rosanna","Love this top, great quality and washes nicely!","Verified Purchase","Reviewed in the United Kingdom on 20 October 2016","5.0 out of 5 stars"
"5","T-shirt","Levi's Women's The Perfect Tee","Eduardo ferrus","La camiseta muy buen precio y calidad . El transporte muy rapidoPero el embalaje de la camisetaFatal a llegado con una bolsa transparente de plastico. Creo que tenian que haberlo envalado como toca.","Verified Purchase","Reviewed in Spain on 30 September 2021","5.0 out of 5 stars"
"6","T-shirt","Levi's Women's The Perfect Tee","Susana","No sé si será original porque pone made in Turkey, pero es igual. Es bonita y de buena calidad.","Verified Purchase","Reviewed in Spain on 18 February 2022","5.0 out of 5 stars"
"7","T-shirt","Levi's Women's The Perfect Tee","Jonathan P.","Mrs liked it that much she gave me oral......","Verified Purchase","Reviewed in the United Kingdom on 13 August 2018","5.0 out of 5 stars"
"8","T-shirt","Levi's Women's The Perfect Tee","Cliente Amazon","Muy bonita y tejido suave","Verified Purchase","Reviewed in Spain on 19 December 2018","5.0 out of 5 stars"
"9","T-shirt","Levi's Women's The Perfect Tee","Lynda","Le t-shirt reçu ne correspond pas du tout à l'image indiqué sur la fiche produit. C'est pourquoi je suis vraiment déçu de cet achat.","Verified Purchase","Reviewed in France on 15 August 2017","4.0 out of 5 stars"
"10","T-shirt","Levi's Women's The Perfect Tee","Elodie","Confortable, tissu agréable ! Taille parfaitement bien. Le tee-shir se porte ample. Je recommande. Prix correct par rapport à la qualité","Verified Purchase","Reviewed in France on 18 March 2017","1.0 out of 5 stars"
"11","T-shirt","Levi's Women's The Perfect Tee","Raquel","Era para un regalo y la cogí en oferta (8'50€),y le ha encantado.Talla M","Verified Purchase","Reviewed in Spain on 23 February 2022","4.5 out of 5 stars"
"12","T-shirt","Levi's Women's The Perfect Tee","ludwig1980","Muy buena calidad como las cosas de la marca, queda muy bien.","Verified Purchase","Reviewed in Spain on 11 July 2020","5.0 out of 5 stars"
"13","T-shirt","Levi's Women's The Perfect Tee","Mireille 17","Belle qualité, intemporel, taille juste mais plutôt petit que grand","Verified Purchase","Reviewed in France on 23 September 2023","5.0 out of 5 stars"
"14","T-shirt","Levi's Women's The Perfect Tee","n1c","Great t shirt. The quality is excellent, would recommend.","Verified Purchase","Reviewed in the United Kingdom on 27 June 2017","5.0 out of 5 stars"
"15","T-shirt","Levi's Women's The Perfect Tee","nounou78","Levis rien a redire 👍","Verified Purchase","Reviewed in France on 18 June 2021","5.0 out of 5 stars"
"16","T-shirt","Levi's Women's The Perfect Tee","seve35","tee shirt conforme en taille et colorislivraison rapide. Mon ado adore (même si pour moi il manque quelque centimètre au nombril !!)merci","Verified Purchase","Reviewed in France on 5 December 2016","5.0 out of 5 stars"
"17","T-shirt","Levi's Women's The Perfect Tee","Sonia","La mejor compra que he hecho en AMAZON hasta hoy: bueno, bonito y barato. En perfecto estado, llegó el día pactado y es original. Una compra muy buena. Aconsejo no lavar a 30 grados aunque ponga que se puede porque pierde color. Fue un regalo para mi madre que pesa 67 kilos. La talla le está bien, perfecta.","Verified Purchase","Reviewed in Spain on 14 October 2019","5.0 out of 5 stars"
"18","T-shirt","Levi's Women's The Perfect Tee","Adzia","This top is true to size. It's really nice on and well worth the money.","Verified Purchase","Reviewed in the United Kingdom on 26 January 2022","5.0 out of 5 stars"
"19","T-shirt","Levi's Women's The Perfect Tee","Cari martinez ramirez","Muy buena calidad","Verified Purchase","Reviewed in Spain on 5 March 2020","4.0 out of 5 stars"
"20","T-shirt","Levi's Women's The Perfect Tee","Barbaram","Ottimo prodotto buon cotone","Verified Purchase","Reviewed in Italy on 15 May 2022","5.0 out of 5 stars"
"21","T-shirt","Levi's Women's The Perfect Tee","agouaoui hossain","tee-shirt comme il se doit, à la bonne taille, il est arrivé très vite, le lendemain. la couleur est peut être même mieux que sur la photo, qui parait un peu terne.","Verified Purchase","Reviewed in France on 17 May 2018","4.5 out of 5 stars"
"22","T-shirt","Levi's Women's The Perfect Tee","Marian","Bardzo miła w dotyku. Po praniu nadal wszystko ok. Żona kupiła kolejną.","Verified Purchase","Reviewed in Poland on 20 September 2023","5.0 out of 5 stars"
"23","T-shirt","Levi's Women's The Perfect Tee","Lalie","Cet article est  de très bonne qualité et matière agréable à porter. Il ne bouge pas aux lavages à répétition.","Verified Purchase","Reviewed in France on 16 September 2018","5.0 out of 5 stars"
"24","T-shirt","Levi's Women's The Perfect Tee","Laura K.","Toll. Schöne Farbe. Passt gut. Wird etwas lockerer. Stoff recht dünn aber schön angenehm weich.","Verified Purchase","Reviewed in Germany on 4 March 2020","5.0 out of 5 stars"
"25","T-shirt","Levi's Women's The Perfect Tee","VS","Wer Qualität will, dann kaufe Levi's","Verified Purchase","Reviewed in Germany on 9 September 2020","5.0 out of 5 stars"
"26","T-shirt","Levi's Women's The Perfect Tee","Gema Gambín","Tejido bueno y el diseño estupendo, recomiendo coger una menos de la talla habitual","Verified Purchase","Reviewed in Spain on 3 February 2022","5.0 out of 5 stars"
"27","T-shirt","Levi's Women's The Perfect Tee","morais costa tania","J adore.  Je vien de décevoir ! Je vais acheté des autres couleur.","Verified Purchase","Reviewed in France on 9 November 2018","5.0 out of 5 stars"
"28","T-shirt","Levi's Women's The Perfect Tee","Tina. H","Gute Qualität. Größe fällt normal aus.","Verified Purchase","Reviewed in Germany on 8 March 2021","5.0 out of 5 stars"
"29","T-shirt","Levi's Women's The Perfect Tee","Jorge","Producto de calidad","Verified Purchase","Reviewed in Spain on 15 April 2019","5.0 out of 5 stars"
