"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Bella","Originally bought it for a cosplay but I actually liked it way more than I thought I would and now I use it in everyday outfits, it’s super stretchy and is a goof quality fabric too","Verified Purchase","Reviewed in Australia on 17 June 2023","4.4 out of 5 stars"
"2","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Jacky","Really stretchy and so comfy. It goes with everything. So good I got one in green as well.","Verified Purchase","Reviewed in Australia on 15 October 2023","5.0 out of 5 stars"
"3","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Bella","The material is good. I ordered a large but the waist size was too small and the skirt is short","Verified Purchase","Reviewed in Australia on 17 June 2023","3.0 out of 5 stars"
"4","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","katie","I like it! It's long enough that I feel comfortable,  it fits comfortably. It's good.","Verified Purchase","Reviewed in Australia on 7 February 2022","5.0 out of 5 stars"
"5","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Jacky","product as described, happy with the purchase","Verified Purchase","Reviewed in Australia on 15 October 2023","5.0 out of 5 stars"
"6","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Cat Lever","The item was ok but it was too short","Verified Purchase","Reviewed in Australia on 26 February 2021","3.0 out of 5 stars"
"7","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Cat Lever","the skirt was too thin. It was almostSee through","Verified Purchase","Reviewed in Australia on 22 December 2020","5.0 out of 5 stars"
"8","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Allison J","Super cute! It's short but I anticipated that. Great fit and very flattering. Will def order more!","Verified Purchase","Reviewed in Australia on 23 October 2023","5.0 out of 5 stars"
"9","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","nerilka","molto giovanile comoda e allo stesso tempo pratica","Verified Purchase","Reviewed in Australia on 21 November 2020","5.0 out of 5 stars"
"10","Skirt","Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt","Amazon Customer","The fabric is nice.  The elastic is put in a way that will bunch up on you. I had to doctorate it up at my sewing machine by putting in two vertical lines of stitching to keep it from twisting on itself (grrrrrr).  I also added a running stitch along the top quarter-inch to make more of a channel for the elastic.  Won't be buying any more of these skirts that I have to doctor up :-(.","Verified Purchase","Reviewed in the United States on 18 April 2016","3.0 out of 5 stars"
