"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Ghazal","This lotion absIorbs quickly and is non-greasy.  I wish it had more scent as it just smells like ordinary Nivea lotion to me.","Verified Purchase","Reviewed in Australia on 9 August 2023","4.6 out of 5 stars"
"2","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Vinay Kumar","This body butter is really thick and smells amazing. Very happy with the price and quality match.","Verified Purchase","Reviewed in Australia on 26 February 2023","4.0 out of 5 stars"
"3","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Loretodearanaga","Olor delicioso, hidrata super bien y tiene un aspecto grueso delicioso!","Verified Purchase","Reviewed in Mexico on 22 July 2023","5.0 out of 5 stars"
"4","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","cahllge","I only received 1 bottle was suppose to receive 20!!! How do I report this","Verified Purchase","Reviewed in the United States on 8 November 2022","5.0 out of 5 stars"
"5","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Sylvie Pat","Bravo pour cette crème que j aime bien..elle est en spéciale présentement..seulement des frais de livraison à 45$ sont ajouté..pas fameux meton..","Verified Purchase","Reviewed in Canada on 21 May 2023","5.0 out of 5 stars"
"6","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Laure","Love this Jergen's body cream, very silky and  moisturizes well.  Smells wonderful,I wear it before going to bed and it is very relaxing.","Verified Purchase","Reviewed in Canada on 27 May 2020","5.0 out of 5 stars"
"7","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","k.a.","Said I’d get 20 when packaged was received I only had 19 in package","Verified Purchase","Reviewed in the United States on 22 August 2022","5.0 out of 5 stars"
"8","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Cheryl Lonadier","I gave these as a gift to some caregivers in an assisted living!","Verified Purchase","Reviewed in the United States on 3 October 2021","3.0 out of 5 stars"
"9","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Arandy N.","Me encanta su textura. Olor. Amo esta crema mi favorita.. no me deja sensación grasosa","Verified Purchase","Reviewed in Mexico on 20 September 2022","5.0 out of 5 stars"
"10","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Maggi","Love the product.  Unfortunately I was charged $35.82 for one travel size tube instead of 20 tubes.  I don’t want to return the one that I received but in order to get a refund, that’s what I’ll have to do. Amazon failed on this one!","Verified Purchase","Reviewed in the United States on 15 July 2023","5.0 out of 5 stars"
"11","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Melissa","Llego en tiempo junto con otras cosas que pedi.La crema tiene una fragancia a citricos y su textura es genial para esta temporada de frio y no tener la piel reseca, no deja la piel grasosa.","Verified Purchase","Reviewed in Mexico on 3 November 2021","4.6 out of 5 stars"
"12","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","QTKP","Second time sent to me with only one in the package when the product description says pack of 20. Why would I pay $20+ for ONE 1oz bottle. Get it together.","Verified Purchase","Reviewed in the United States on 20 June 2020","5.0 out of 5 stars"
"13","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Amazon Customer","I received 1 bottle, not 20 as it said. I wish I would have read reviews first. I would not have ordered this.","Verified Purchase","Reviewed in the United States on 19 June 2022","1.0 out of 5 stars"
"14","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Raul Rodriguez Hernandez","Buen producto, aroma  ligero.","Verified Purchase","Reviewed in Mexico on 15 May 2021","1.0 out of 5 stars"
"15","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Christopher","Comes with 1 instead of 20!","Verified Purchase","Reviewed in the United States on 27 January 2022","4.0 out of 5 stars"
"16","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Toni E. Hegan-Kelly","Good value. Good product. I love the fruity smell. It’s not greasy or sticky. Great lotion","Verified Purchase","Reviewed in the United States on 1 March 2024","1.0 out of 5 stars"
"17","Lotion","Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White","Guadalupe M","Tengo la piel sensible y esta crema me humecta perfecto sin que me ocasione alergia","Verified Purchase","Reviewed in Mexico on 12 March 2022","5.0 out of 5 stars"
