"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Pants","Leggings Depot","Pamela","I now have a number of these pants as they are so comfortable and a nice colour range.  The fabric is soft but not see through and stretchy but stays in shape.  The length is long, so I had to take them up but as I am petite that is to be expected.","Verified Purchase","Reviewed in Australia on 7 February 2024","4.4 out of 5 stars"
"2","Pants","Leggings Depot","Joy Garlick","Worth the purchase, just lovely to wear.","Verified Purchase","Reviewed in Australia on 26 October 2019","5.0 out of 5 stars"
"3","Pants","Leggings Depot","Pamela","Very soft material and stretchable too.","Verified Purchase","Reviewed in Australia on 7 February 2024","3.0 out of 5 stars"
"4","Pants","Leggings Depot","""M""","They are amazing! Soft. Stretchy. 100% would buy again. I'm pretty tall too (183cm) and they are perfect on my leg length and not too low in the waist.Exceeded expectations.","Verified Purchase","Reviewed in Australia on 8 May 2020","5.0 out of 5 stars"
"5","Pants","Leggings Depot","Customer","Love the great range of colours & designs in these leggings.Leggings are warm & very comfortable.Legging do not constrict body movement.Ideal for yoga & gym, etc.","Verified Purchase","Reviewed in Australia on 15 January 2021","5.0 out of 5 stars"
"6","Pants","Leggings Depot","J-qualin","They look good, but the sizing is WAY too small.","Verified Purchase","Reviewed in Australia on 3 November 2020","4.0 out of 5 stars"
"7","Pants","Leggings Depot","J-qualin","They are very soft and comfortable.","Verified Purchase","Reviewed in Australia on 4 January 2021","5.0 out of 5 stars"
"8","Pants","Leggings Depot","Lyn T.","So comfortable. Perfect fit. Great quality. Value for money.","Verified Purchase","Reviewed in Australia on 26 October 2019","5.0 out of 5 stars"
"9","Pants","Leggings Depot","Joy Garlick","These are fabulous for around the house ,I also wear them to bed .They wash beautifully.","Verified Purchase","Reviewed in Australia on 7 December 2023","5.0 out of 5 stars"
"10","Pants","Leggings Depot","Jennifer H","The XL isn't big but is comfortable on me and now own 4 different pairs. I am a AU size 16","Verified Purchase","Reviewed in Australia on 23 October 2020","3.0 out of 5 stars"
"11","Pants","Leggings Depot","Pamela","Really good quality, better than I expected, nice fabric and nice pattern. Will be buying multiple different colours. 😊","Verified Purchase","Reviewed in Australia on 7 February 2024","4.4 out of 5 stars"
"12","Pants","Leggings Depot","Joy Garlick","Great leggings good fit so soft would buy more","Verified Purchase","Reviewed in Australia on 26 October 2019","5.0 out of 5 stars"
"13","Pants","Leggings Depot","Constance","These leggings are superb.  They are such wonderful value for the price!!!!!","Verified Purchase","Reviewed in Australia on 2 June 2021","3.0 out of 5 stars"
"14","Pants","Leggings Depot","Dianne","Would definitely recommend - so comfortable.  I also bought in black","Verified Purchase","Reviewed in Australia on 9 November 2019","5.0 out of 5 stars"
"15","Pants","Leggings Depot","JoD","I have 2 pairs of Lulu Align Joggers that cost me $130. I love the fabric and the way they look. These are basically the same thing. Minor differences... you can feel the seams a bit more and the fabric feels a little less - only a little - buttery. But for the money, this is a steal. Love them, I don't see me buying any others from now on.","Verified Purchase","Reviewed in Australia on 10 May 2019","5.0 out of 5 stars"
"16","Pants","Leggings Depot","Nicola","Testing review :)","Verified Purchase","Reviewed in Australia on 14 May 2019","5.0 out of 5 stars"
"17","Pants","Leggings Depot","Larissa","Very soft","Verified Purchase","Reviewed in Australia on 22 February 2023","5.0 out of 5 stars"
"18","Pants","Leggings Depot","Saif Islam","Sadly had to return. The size felt like a it was on the smaller side of a large. I could’ve kept them, but I don’t care for garments that hug my body. I’m 5’2  and 176lbs usually wear a 12/14 in most items. The feel and comfort of these are outstanding, so blame soft. The nicest pair of joggers I’ve ever seen and so many patterns and most around $10-$12, who does that, that’s why once I returned and went to order them in an xl they had none I tell ya.","Verified Purchase","Reviewed in Australia on 30 November 2020","5.0 out of 5 stars"
"19","Pants","Leggings Depot","Dawn Koch","Very thin material.  Not something I’d recommend for work. Casual weekend wear.",NA,"Reviewed in the United States on 9 January 2019","5.0 out of 5 stars"
"20","Pants","Leggings Depot","Pookums65","These leggings are great! They fit as expected, are soft and comfortable. I used to be a LuLaRoe addict with leggings. But these leggings fit, are just as soft, and comfortable as the LuLa leggings at 1/2 the price. I will def be getting more of these leggings!",NA,"Reviewed in the United States on 25 April 2020","5.0 out of 5 stars"
"21","Pants","Leggings Depot","Pamela","Tought product was like a fresh material it does seem small fir the sz i ordered.","Verified Purchase","Reviewed in Australia on 7 February 2024","4.4 out of 5 stars"
