"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Xanetia07","I spent too long trying to decide if I would buy this bag. Glad I finally did. The quality is better than expected and It's a fantastic size. Luv it!","Verified Purchase","Reviewed in Australia on 1 October 2023","4.4 out of 5 stars"
"2","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Tom","Only a small wallet phone glasses and a few other essentials can fit but it’s totally worth the price🖤","Verified Purchase","Reviewed in the United States on 5 February 2024","5.0 out of 5 stars"
"3","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Shop Girl","This is very pretty and affordable but the smell inside the bag is so acrid it’s like the smell of fertilizer or a rodent killer chemical I tried to air it outside but no success don’t know if this is even safe will be returning.  I tried to contact the seller but no answer yet.","Verified Purchase","Reviewed in the United States on 26 August 2022","5.0 out of 5 stars"
"4","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","stefano","Molto resistente","Verified Purchase","Reviewed in Italy on 6 September 2023","1.0 out of 5 stars"
"5","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Canadian buyer","It’s simple and easy to carry. I just wish it had a closing button or zip.","Verified Purchase","Reviewed in Canada on 25 February 2023","5.0 out of 5 stars"
"6","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Carolina Fuentes","Me encantó esta bolsa desde que se la vi a una compañera de la oficina, la busqué y la encontré aquí en Amazon y no duda en pedirla.¡Le cabe todo! Y eso me encanta, es resistente, tiene buen material y aparte se ve preciosa.Espero pedir próximamente la versión pequeña, estoy demasiado fascinada y la recomiendo mucho :)","Verified Purchase","Reviewed in Mexico on 22 February 2024","5.0 out of 5 stars"
"7","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Carolina Fuentes","Ich hab das was bekommen, aber das war nur ein fake produkt. und jetzt probleme wegen das weil auslandslieferung. naja USA","Verified Purchase","Reviewed in Germany on 28 December 2023","5.0 out of 5 stars"
"8","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Christian Lohmer","Dimensions are way off size advertised. Over 2 inches off both in height and length, straps are also incredibly small. Poorly made bag many threads all over. Very dissapointed would not recommend for the price paid.","Verified Purchase","Reviewed in the United Kingdom on 31 July 2023","5.0 out of 5 stars"
"9","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Georgie","joli produit","Verified Purchase","Reviewed in France on 9 July 2023","1.0 out of 5 stars"
"10","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","simonini noelie","Most Matt use this bag for the beach but I use mine as a work bag. I bought this one as a gift. It’s exceptionally sturdy, has a beautiful lining, and durable. You won’t regret this purchase at such a great price","Verified Purchase","Reviewed in the United States on 26 December 2023","1.0 out of 5 stars"
"11","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Fernando Hernández Martínez","La bolsa de tamaño grande es bastante amplia, muy funcional para el trabajo, le caben muchas cosas. El diseño es muy bonito","Verified Purchase","Reviewed in Mexico on 1 July 2023","4.4 out of 5 stars"
"12","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Madison","Love this bag! Style wise it’s gorgeous and the pattern is lovely in person. It did arrive a bit deflated but after stuffing it for a few days the wrinkles came out and it regained its structure","Verified Purchase","Reviewed in the United States on 1 September 2022","5.0 out of 5 stars"
"13","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Amazon Customer","Beautiful and soft inside and good stitching on the outside thought it was a little bigger but great for a beach bag","Verified Purchase","Reviewed in the United States on 5 December 2023","5.0 out of 5 stars"
"14","Bags","NCDUANSAN Large Capacity Handbag Linen Cotton Flower Embroidery Retro Exquisite Doodle Fashion Shopping Bag","Amazon Customer","Very cute. You almost want to get out your markers and color it lol!  Love it. Have the small, may order the large","Verified Purchase","Reviewed in the United States on 29 February 2024","5.0 out of 5 stars"
