"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Alexandra","My husband said it smells potent","Verified Purchase","Reviewed in Australia on 31 December 2023","4.5 out of 5 stars"
"2","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Tayla","Subtle mature smell. I’m used to sweet candy perfumes like Purr and Fantasy by Britney Spears. But this is a nice smell for me, not too strong. It fades into a sweet scent, I love it.","Verified Purchase","Reviewed in Australia on 1 February 2022","5.0 out of 5 stars"
"3","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Alexandra","Looks impressive. Quick delivery.","Verified Purchase","Reviewed in Australia on 31 December 2023","3.0 out of 5 stars"
"4","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Mrs. Bebies","Great smellLovely product","Verified Purchase","Reviewed in Australia on 4 October 2022","5.0 out of 5 stars"
"5","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Di","smells great","Verified Purchase","Reviewed in Australia on 26 November 2023","5.0 out of 5 stars"
"6","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Helene","The media could not be loaded.
                
            
                
            
        
    
    
Pretty good, as good as Jo Malone","Verified Purchase","Reviewed in Australia on 3 April 2021","5.0 out of 5 stars"
"7","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","sangmo lama","Its good but doesnt stay on long lol buy it but dont","Verified Purchase","Reviewed in Australia on 13 January 2020","5.0 out of 5 stars"
"8","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Liancheng Li","Missing the lid. It doesn’t have the proper box from the image, instead in white box labelled “tester not meant for sale” the box was open too and perfume flying about in the box as well.","Verified Purchase","Reviewed in Australia on 30 October 2021","5.0 out of 5 stars"
"9","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Liancheng Li","Fragrance disappears in few minutes","Verified Purchase","Reviewed in Australia on 1 February 2022","5.0 out of 5 stars"
"10","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Tayla","Love it, Value for Money! If I ever run out will buy again!","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
"11","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Alexandra","Har innan testat parfymen och ville köpa den igen och jag älskar den. Luktar extremt gott och kom hem smidigt och hel, en dag försent men ändå inget att klaga över","Verified Purchase","Reviewed in Australia on 31 December 2023","4.5 out of 5 stars"
"12","Perfume","Katy Perry Killer Queen Eau De Parfum 100Ml","Tayla","Ruikt heerlijk voel doet","Verified Purchase","Reviewed in Australia on 1 February 2022","5.0 out of 5 stars"
