"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Bags","Michael Kors Jet Set Item Large East West","Hanan El-Masri","","Verified Purchase","Reviewed in Australia on 1 January 2024","4.6 out of 5 stars"
"2","Bags","Michael Kors Jet Set Item Large East West","Hanan El-Masri","Beautiful bag suitable to wear with everything.I chose the light colour to suit every season.It's the perfect size, room for phone keys lippy. Looks great with any colour. Love it.","Verified Purchase","Reviewed in Australia on 30 November 2023","5.0 out of 5 stars"
"3","Bags","Michael Kors Jet Set Item Large East West","Kate","100% recommend, excellent quality & size is perfect for me, really love this bag, great fast delivery from the seller & nicely packed..👍👍👍🥰🥰🥰🥰","Verified Purchase","Reviewed in Australia on 3 November 2023","5.0 out of 5 stars"
"4","Bags","Michael Kors Jet Set Item Large East West","Nazma","Leather strap makes it look casual.","Verified Purchase","Reviewed in Australia on 26 May 2023","5.0 out of 5 stars"
"5","Bags","Michael Kors Jet Set Item Large East West","Nazma","Horrible smell","Verified Purchase","Reviewed in Australia on 27 February 2024","5.0 out of 5 stars"
"6","Bags","Michael Kors Jet Set Item Large East West","Ally","Una bolsa realmente bastante bonita y de muy buena calidad además de que el tamaño es Perfecto 👌 un poco más grande de cómo parece ser en la Foto","Verified Purchase","Reviewed in Mexico on 20 February 2024","5.0 out of 5 stars"
"7","Bags","Michael Kors Jet Set Item Large East West","Sandhya","Sehr schöne Tasche passt Geldbeutel und Schlüssel gut rein","Verified Purchase","Reviewed in Germany on 12 March 2023","4.0 out of 5 stars"
"8","Bags","Michael Kors Jet Set Item Large East West","Muy bonita la bolsa y de excelente calidad, el tamaño también es Perfecto un poco más grande de cómo parece en la foto","MK is beautiful. I wanted something bigger I loved it but sent back. Make sure and check dimensions description I didn’t. If it were bigger than yes it’s beautiful. My fault for not paying attention. Great small purse.","Verified Purchase","Reviewed in the United States on 19 August 2022","1.0 out of 5 stars"
"9","Bags","Michael Kors Jet Set Item Large East West","Dane","Muy práctico, bastante espacioso, ha llegado bien embalado y protegido. Recomiendo.","Verified Purchase","Reviewed in Spain on 26 May 2023","5.0 out of 5 stars"
"10","Bags","Michael Kors Jet Set Item Large East West","Vickie Brennand","These purse look way better in person. Great quality, nice size, and just overall amazing. I bought it as a graduation gift for a friend. She LOVED it. She’s been wearing the bag ever since I gifted it to her.","Verified Purchase","Reviewed in the United States on 12 June 2023","4.0 out of 5 stars"
"11","Bags","Michael Kors Jet Set Item Large East West","Naouel","Canon","Verified Purchase","Reviewed in France on 3 March 2022","4.6 out of 5 stars"
"12","Bags","Michael Kors Jet Set Item Large East West","Laura Garcia Iglesias","Bolso de calidad y muy bonito","Verified Purchase","Reviewed in Spain on 21 September 2023","5.0 out of 5 stars"
"13","Bags","Michael Kors Jet Set Item Large East West","Hermosa y perfecta","Hermosa y de buen tamaño","Verified Purchase","Reviewed in Mexico on 3 October 2023","5.0 out of 5 stars"
"14","Bags","Michael Kors Jet Set Item Large East West","Hermosa y perfecta","Very nice & good quality authentic bag","Verified Purchase","Reviewed in Singapore on 5 March 2024","5.0 out of 5 stars"
"15","Bags","Michael Kors Jet Set Item Large East West","Edz","Prodotto Top il costo NON giustifica la qualità, ma questa volta al contrario, nel senso che il costo è molto inferiore alla GRANDISSIMA qualità del prodotto, in poche parole il TOP.","Verified Purchase","Reviewed in Italy on 26 December 2022","5.0 out of 5 stars"
"16","Bags","Michael Kors Jet Set Item Large East West","Edz","Lovely bag good size good quality and lovely colours.","Verified Purchase","Reviewed in the United Kingdom on 24 September 2023","5.0 out of 5 stars"
"17","Bags","Michael Kors Jet Set Item Large East West","Roberto","So beautiful and it’s actually good size can fit my full size wallet iPhones and stuff.. very happy with the purchase!","Verified Purchase","Reviewed in Canada on 4 October 2023","5.0 out of 5 stars"
"18","Bags","Michael Kors Jet Set Item Large East West","Amazon Customer","A bolsa veio dos Estados Unidos, com a garantia e tudo mais. Tem o selinho dentro da bolsa que comprova ser original, sem avaria nenhuma. perfeita. Adorei! Não encontrei defeito nenhum.","Verified Purchase","Reviewed in Brazil on 20 April 2023","5.0 out of 5 stars"
"19","Bags","Michael Kors Jet Set Item Large East West","Pretty lady","More beautiful than the picture on website..would highly recommend to purchase this handbag","Verified Purchase","Reviewed in the United Kingdom on 25 November 2023","5.0 out of 5 stars"
"20","Bags","Michael Kors Jet Set Item Large East West","Amazon Customer","Sac très léger et pratique pour le voyage","Verified Purchase","Reviewed in Canada on 31 August 2023","5.0 out of 5 stars"
"21","Bags","Michael Kors Jet Set Item Large East West","nat","Ma fille a ete ravie","Verified Purchase","Reviewed in France on 4 December 2022","4.6 out of 5 stars"
"22","Bags","Michael Kors Jet Set Item Large East West","manoukian","pratique  parfait","Verified Purchase","Reviewed in France on 11 September 2023","5.0 out of 5 stars"
"23","Bags","Michael Kors Jet Set Item Large East West","Just Me","VERY CUTE, GOOD AND STYLISH!","Verified Purchase","Reviewed in the United States on 31 May 2023","5.0 out of 5 stars"
"24","Bags","Michael Kors Jet Set Item Large East West","Dorothy M. Jenkins","using it nowgreat hold important thingsphone and cards","Verified Purchase","Reviewed in the United States on 15 February 2023","5.0 out of 5 stars"
"25","Bags","Michael Kors Jet Set Item Large East West","Bermudez","Vraiment  bienBonne qualité Je recommande  à 100%","Verified Purchase","Reviewed in France on 19 October 2023","5.0 out of 5 stars"
"26","Bags","Michael Kors Jet Set Item Large East West","ALEXIA","El bolso es muy bonito y llegó a tiempo.  Lo único que no me gustó es que para ser un bolso de marca no venía ni en caja ni traía bolsa para guardarlo. Por lo demás llegó en perfectas condiciones .","Verified Purchase","Reviewed in Spain on 6 March 2024","5.0 out of 5 stars"
