"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Jessy","Very quick delivery, thank you, quality looks good, just the colour yellow isn’t the same as on model… I was hoping for a softer yellow. I will wear it regardless, as it wasn’t cheap. I personally thing it’s over priced… but it’s our risk when we purchase","Verified Purchase","Reviewed in Australia on 25 January 2024","4.4 out of 5 stars"
"2","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Jessy","I'll def be ordering more from the same company","Verified Purchase","Reviewed in Canada on 23 February 2023","3.0 out of 5 stars"
"3","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Debra Murray","Bought this to wear this upcoming summer. Orange is way cute, like a peachy orange. Very soft and well made. True to size!","Verified Purchase","Reviewed in the United States on 7 March 2024","3.0 out of 5 stars"
"4","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Megatronic101","I expected a pinky purple color but it's more of a greyish-purple and darker than pictured.  Ordered in January arrived on March 15th.  Disappointed all around.","Verified Purchase","Reviewed in Canada on 16 March 2023","5.0 out of 5 stars"
"5","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Claire McGarry","This is a super cute t-shirt. Fabric is great and fits as expected for size.","Verified Purchase","Reviewed in the United States on 29 February 2024","5.0 out of 5 stars"
"6","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Sally2by4","I Love this sunflower tee.  It does fit a little snug, but I like my t-shirts like that and it's got plenty of stretch.  If you're looking for a looser fit, I'd probably recommend ordering one size larger.","Verified Purchase","Reviewed in the United States on 5 March 2024","2.0 out of 5 stars"
"7","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Amy R.","I really like the shirt, very comfortable, runs a little big but great with jeans or jean shorts.  Like the material 👍🏻","Verified Purchase","Reviewed in the United States on 13 February 2024","5.0 out of 5 stars"
"8","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Jan Prieto-McCarthy","Love the color and pattern. True to size.","Verified Purchase","Reviewed in the United States on 11 March 2024","4.0 out of 5 stars"
"9","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","Margaret Dininny","This item fits well but is not the right color. Picked a lime green shirt but received dark green. Don't even see a dark green one listed in all the colors. Still waiting to see if my purple one will come darker also. Disappointed in the color, as I was looking for something fun and summery. The product itself is decent and comfortable.","Verified Purchase","Reviewed in the United States on 24 June 2023","5.0 out of 5 stars"
"10","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","nromo","The material is great. I typically wear a large but a medium would fit even better in this shirt. I love the sleeve detail but the shirt itself is a bit boxy. I simply tied the front to give it more shape.","Verified Purchase","Reviewed in the United States on 20 February 2024","5.0 out of 5 stars"
"11","T-shirt","Cicy Bell Women's T Shirts Short Sleeve Tees Sunflower Graphic Loose Summer Tops","GREGORY T BOROWSKI","It’s soft and comfy, fits well and didn’t shrink after drying","Verified Purchase","Reviewed in the United States on 24 February 2024","4.4 out of 5 stars"
