"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","ShoppingMadness","I am size AU8 and went one size up to M as I didn’t want a tight fit.  It worked out and i like the fit, not too tight and not baggy, just a relaxed fit.  Green and maroon are nice colours, and are as pictured.","Verified Purchase","Reviewed in Australia on 29 April 2021","4.2 out of 5 stars"
"2","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Tannedhaggis","Great value top. Nice fabric and lovely colour. Long length, but on the small side.","Verified Purchase","Reviewed in Australia on 28 June 2021","5.0 out of 5 stars"
"3","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","MAYRA R.","es una lastima que no vendan esta marca en mi pais, la calidad es muy  buena en confeccion y material","Verified Purchase","Reviewed in Mexico on 21 March 2022","4.0 out of 5 stars"
"4","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Brenda Joseph","It fits well and has flattering shape.Slightly longer for better coverage. Good quality fabric which washes well.","Verified Purchase","Reviewed in Canada on 22 September 2023","5.0 out of 5 stars"
"5","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","S S","I was expecting those sweat wicking type of fabric but it was more like cotton, felt scratchy like what some of the earlier reviews said. Tshirt was really long. It fits me ok but..not what I expected overall.","Verified Purchase","Reviewed in Singapore on 16 March 2023","5.0 out of 5 stars"
"6","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","B. Thompson","Good for, size","Verified Purchase","Reviewed in Canada on 25 January 2024","3.0 out of 5 stars"
"7","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Marcela C","La tela se siente fresca, me gustó el largo de las mangas y el corte. La pedí en color verde que también me gustó mucho. Soy entre talla chica y mediana, la pedí en talla chica y quedó justo a mi medida. Muy buena compra.","Verified Purchase","Reviewed in Mexico on 16 October 2019","4.0 out of 5 stars"
"8","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Amazon Customer","Runs on the smaller side but comfortable.","Verified Purchase","Reviewed in the United States on 10 March 2024","5.0 out of 5 stars"
"9","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","KAM","I absolutely love working out in the Russell Athletic Women's Cotton Performance T-Shirt. The cotton material provides a comfortable and natural feel against my skin, making it my go-to for exercise sessions. The soft fabric is a major plus, contributing to an overall pleasant wearing experience.However, there's one noticeable downside – the tightness in the shoulders. During arm workouts, I find myself having to hike up the shirt to avoid feeling restricted. I have this in gray and black, both have the same issue. It's a bit frustrating and affects the overall convenience of the T-shirt. Considering this, I would recommend potential buyers to be mindful of the shoulder fit and perhaps consider sizing up for a more comfortable workout experience.On a positive note, the moisture-wicking properties of the fabric are impressive. The T-shirt effectively keeps me dry, even during intense sweat sessions - without the stench from other workout shirts. I appreciate the simplicity of the design, making it versatile for both the gym and casual wear.Despite the shoulder issue, I continue to reach for this T-shirt for its comfort and breathability. The price cannot be beat! It's become a staple in my workout wardrobe, but I hope the brand addresses the shoulder tightness in future designs. If you prioritize the natural feel of cotton during workouts and don't mind a bit of shoulder tightness, this T-shirt is worth considering.","Verified Purchase","Reviewed in the United States on 1 January 2024","5.0 out of 5 stars"
"10","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Lila","Está linda la playera, no es para ejercicio, es más para Jeans, es muy cómoda","Verified Purchase","Reviewed in Mexico on 31 May 2020","4.0 out of 5 stars"
"11","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Amazon Customer","This is a surprisingly good product. After washing it so many times, it keeps the color and shape and it looks perfect on me. Very flattering.","Verified Purchase","Reviewed in Canada on 4 November 2023","4.2 out of 5 stars"
"12","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Harman Brar","I ordered a medium size. It fits perfectly. It gives your body a great shape. I loved it. I ordered 2 more.","Verified Purchase","Reviewed in Canada on 24 January 2024","5.0 out of 5 stars"
"13","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Yeamans","My screen shows a sunshine yellow but I understand with the differences in screens you won’t always get the color exact. I felt like this shirt ran small and was not stretchy. I also felt like it was a bit see through.","Verified Purchase","Reviewed in the United States on 13 December 2023","5.0 out of 5 stars"
"14","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","VERONICA GONZALEZ","Me encantó el color y la talla es exacta, la recomiendo ampliamente tanto que estoy pensando en pedirme los otros colores.","Verified Purchase","Reviewed in Mexico on 9 June 2019","3.0 out of 5 stars"
"15","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Grace","Comfortable and fits well, nice shade of blue. Bought for a costume it worked nicely","Verified Purchase","Reviewed in the United States on 14 November 2023","5.0 out of 5 stars"
"16","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","LESLIE","Playera cómoda, la calidad es buena y la talla también es correcta","Verified Purchase","Reviewed in Mexico on 22 November 2020","5.0 out of 5 stars"
"17","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Your average Canadian","Material is strong, but too stiff... Even after a wash","Verified Purchase","Reviewed in Canada on 31 August 2019","5.0 out of 5 stars"
"18","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Kike","Buena tela, la playera es exactamente lo que se describe en la publicación, muy colada y buena para hacer deporte","Verified Purchase","Reviewed in Mexico on 9 January 2019","3.0 out of 5 stars"
"19","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","A","Great colour, comfortable as well.  Sizing is off.  I am not a big lady and I ordered a medium as I usually wear.  And it’s snug.  Would liked it with a little more room.  But it’s wearable just not with any fancy underlying hardware LOL.","Verified Purchase","Reviewed in Canada on 5 July 2023","5.0 out of 5 stars"
"20","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Louise D. Somes","This tee shirt is the right length, not too thin and not too thick of material, and washes well.I like it so much I bought two more!","Verified Purchase","Reviewed in the United States on 16 December 2023","2.0 out of 5 stars"
"21","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Ima","Good material","Verified Purchase","Reviewed in Canada on 3 December 2023","4.2 out of 5 stars"
"22","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","MARIA S. RAMOO","Poor material and very small. I usually buy small t-shirts and fit well but this item was smaller than extra small size. Completely disappointed. I tried to return but it’s not shipped by Amazon and I had to take it to USPS, I ended putting it in the trash.","Verified Purchase","Reviewed in the United States on 9 February 2024","4.0 out of 5 stars"
"23","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","VB","Good quality for the price","Verified Purchase","Reviewed in Canada on 13 July 2023","1.0 out of 5 stars"
"24","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Nameless","I’m happy with the material, but it is on the tight side. Because of that I hang up to dry. A dryer would make the cotton shrink and I probably wouldn’t be able to get into it anymore!","Verified Purchase","Reviewed in the United States on 12 February 2024","5.0 out of 5 stars"
"25","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Lynette","Color and shape lasted very well!","Verified Purchase","Reviewed in the United States on 9 January 2024","4.0 out of 5 stars"
"26","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Kim","If you prefer to have a soft T-shirt I would not recommend this one. It is very scratchy, stiff and uncomfortable. I'm going to try to wash it several times to see if it helps but I'm not hopeful. I don't recommend this one.","Verified Purchase","Reviewed in the United States on 11 March 2024","4.0 out of 5 stars"
"27","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Karine Charbonneau","Beau, bien coupé, tombe bien et est doux au toucher.","Verified Purchase","Reviewed in Canada on 6 December 2023","3.0 out of 5 stars"
"28","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Sarahclark","Material is a bit starchy, bought for my to wear to dance but it won’t quite work for that. Would  be a good Tee for iron ons/shirt designs.","Verified Purchase","Reviewed in the United States on 19 October 2023","4.0 out of 5 stars"
"29","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Chris M.","This tshirt ran a little small but I liked that it wasn't the thin material that shows bumps, rolls. It was a nice thickness and the darl green concealed flaws. It was a little stiff and does not have a lot of stretch. I am 5'1"", 40DD, size 12P. The large was a little snug but ok. It wasn't as long as other tshirts and I liked that. I am not sure how it will wash. I will hang it to dry and try to stretch it out horizontallya little in the bust. Hopefully it will become less stiff after a few wears and washes. We shall see.","Verified Purchase","Reviewed in the United States on 29 June 2023","4.0 out of 5 stars"
"30","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","Roy","Nice golden color, but shirt was see through.","Verified Purchase","Reviewed in the United States on 9 October 2023","4.0 out of 5 stars"
"31","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","griselda","When i first washed it, it shrank one size down","Verified Purchase","Reviewed in the United States on 1 October 2023","4.2 out of 5 stars"
"32","T-shirt","Russell Athletic Womens Essential Short Sleeve T-Shirt","GG","Too boxy. Not athletic fit I was hoping for.","Verified Purchase","Reviewed in the United States on 8 January 2024","4.0 out of 5 stars"
