"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Francesca","Kipling è sempre una garanzia. Comprata perché in offerta e non potevo lasciarmela scappare. Bella, capiente, comoda , con diversi scomparti  per uso quotidiano. Sicuramente ne prenderò altre. Consegna super veloce di Amazon.","Verified Purchase","Reviewed in Italy on 7 April 2021","4.6 out of 5 stars"
"2","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Maria","Wie immer gute Qualität. Die Marke Kippling hat mich wieder überzeugt.","Verified Purchase","Reviewed in Germany on 25 December 2023","5.0 out of 5 stars"
"3","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Amazon Customer","I've brought 2 of these as presents now. They are used as carry bags with the small handles and I think that is best for this design (might be clunky on the long strap). Really nice size. Lots of room for purse, bits and bobs, but not too big. Kipling is always good quality, lightweight, excellent design.","Verified Purchase","Reviewed in the United Kingdom on 27 December 2023","5.0 out of 5 stars"
"4","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Francine Pereira","Schöne Tasche","Verified Purchase","Reviewed in Germany on 23 October 2023","5.0 out of 5 stars"
"5","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","lottie g","Ordered the dark blue and the black.  My mom loves her blue Kipling and I love my black Kipling.  Excellent quality.  Extremely lightweight yet roomy.  Great material.  Super nice large zippers.  In order to give the bag structure at the bottom, I used a simple money bag (found in stationary departments) with a zipper.  Cut two pieces of sturdy cardboard, zipped up and created a perfect sized, wipeable & base.  Perfect in every way.  And, totally amazed at how quick they arrived...all the way from Europe.  Suitable for every age group.  You will love your bag.  Very happy!","Verified Purchase","Reviewed in the United States on 24 March 2022","5.0 out of 5 stars"
"6","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Waltraud Steingraber","Optimal größe, 500 mal Flasche passt auch gut rein, ich bin wie immer begeistert.Auch die Qualität ist immer gleich gut","Verified Purchase","Reviewed in Germany on 14 December 2020","5.0 out of 5 stars"
"7","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Cliente Amazon","El bolso es muy bonito, de buena calidad y tiene muchos bolsillos, es cómodo. Cumplió  mis expectativas","Verified Purchase","Reviewed in Spain on 27 December 2023","5.0 out of 5 stars"
"8","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Antara","Schöne und robuste Tasche . Gefällt mir sehr gut .","Verified Purchase","Reviewed in Germany on 12 March 2022","5.0 out of 5 stars"
"9","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","Antonella Rebecchi","Ottimo prodotto","Verified Purchase","Reviewed in Italy on 19 April 2021","5.0 out of 5 stars"
"10","Bags","Kipling Women's Art Mini Pockets with Carry Handle, One Size","SILVIA CARREIRA DE MENESES ANDRADE","Ótimo preço","Verified Purchase","Reviewed in Brazil on 4 August 2023","5.0 out of 5 stars"
