"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shoes","Crocs Unisex Adult Classic Clog","Liz","Super comfy, good size, crocs brand, cute colour! I love it! Would definitely buy it again","Verified Purchase","Reviewed in Australia on 8 January 2024","4.8 out of 5 stars"
"2","Shoes","Crocs Unisex Adult Classic Clog","Bilby","Comfortable and a great colour.","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars"
"3","Shoes","Crocs Unisex Adult Classic Clog","Liz","Excellent product …. Practical and hardy for our homestead life!","Verified Purchase","Reviewed in Australia on 8 January 2024","3.0 out of 5 stars"
"4","Shoes","Crocs Unisex Adult Classic Clog","Liz","Very comfortable. I can wear them all day.Had to return because the sizes are different. 2 sizes bigger.","Verified Purchase","Reviewed in Australia on 14 March 2024","5.0 out of 5 stars"
"5","Shoes","Crocs Unisex Adult Classic Clog","S. Wilton","The venerable traditional style Croc in great 'Classic Elephant' colour. My go to footwear and even better when at a discount price.","Verified Purchase","Reviewed in Australia on 15 February 2024","5.0 out of 5 stars"
"6","Shoes","Crocs Unisex Adult Classic Clog","MandyKay","great all-terrain footwear","Verified Purchase","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars"
"7","Shoes","Crocs Unisex Adult Classic Clog","Arrived quickly. Very comfortable.","Purchased this as a surprise birthday gift for my girlfriend, and she absolutely loved it. She's been wanting one for ages, it perfectly fit and was the exact colour ordered. Also bought a few cutr charms on the side which fit perfectly and stylised the shoes!! Don't walk, run and cop this!!","Verified Purchase","Reviewed in Australia on 14 March 2024","5.0 out of 5 stars"
"8","Shoes","Crocs Unisex Adult Classic Clog","Cam L.","Love them. Super comfy","Verified Purchase","Reviewed in Australia on 18 February 2024","5.0 out of 5 stars"
"9","Shoes","Crocs Unisex Adult Classic Clog","The Hardings","Awesome thank you 😀","Verified Purchase","Reviewed in Australia on 30 January 2024","5.0 out of 5 stars"
"10","Shoes","Crocs Unisex Adult Classic Clog","Ryan Wahlstrom","This one has some holes around the rim(?) which could be good or bad. It will be good as air comes in the feet area so water will be dried quickly. However, when you go to beach, sand will goes into the feet area. Happy as it is.","Verified Purchase","Reviewed in Australia on 5 March 2024","4.0 out of 5 stars"
"11","Shoes","Crocs Unisex Adult Classic Clog","Liz","sooo good was worried it was fake because so cheap but its perfect","Verified Purchase","Reviewed in Australia on 8 January 2024","4.8 out of 5 stars"
"12","Shoes","Crocs Unisex Adult Classic Clog","Bilby","Great value","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars"
"13","Shoes","Crocs Unisex Adult Classic Clog","Josie Smithton","Perfect fit and exact colour I wanted","Verified Purchase","Reviewed in Australia on 5 March 2024","3.0 out of 5 stars"
"14","Shoes","Crocs Unisex Adult Classic Clog","krystine","Typical croc. Light and comfortable.","Verified Purchase","Reviewed in Australia on 5 March 2024","5.0 out of 5 stars"
"15","Shoes","Crocs Unisex Adult Classic Clog","Roxy","real crocs (not a scam) came very quickly, wear them every day now","Verified Purchase","Reviewed in Australia on 15 February 2024","5.0 out of 5 stars"
"16","Shoes","Crocs Unisex Adult Classic Clog","Rob M","Good price and postage - genuine crocs","Verified Purchase","Reviewed in Australia on 16 February 2024","5.0 out of 5 stars"
"17","Shoes","Crocs Unisex Adult Classic Clog","Sophia","Super cute and shipping as always fast","Verified Purchase","Reviewed in Australia on 9 February 2024","5.0 out of 5 stars"
"18","Shoes","Crocs Unisex Adult Classic Clog","Haydos","Very good if you can get at a sale price.","Verified Purchase","Reviewed in Australia on 13 February 2024","5.0 out of 5 stars"
"19","Shoes","Crocs Unisex Adult Classic Clog","0499776609","I wear size US M15 crocs (pictured right) and comparing them to these crocs (pictured left) these crocs are noticibly smaller in width and slightly smaller in length. Otherwise, they still look like crocs. Noticibly, the older crocs have ""Made in Vietnam"" on the back, while the new crocs have ""Made in China"" so it also could be a quality assurance issue between manufacturing sites.","Verified Purchase","Reviewed in Australia on 31 January 2024","5.0 out of 5 stars"
"20","Shoes","Crocs Unisex Adult Classic Clog","Hugsy","Perfect fit","Verified Purchase","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars"
"21","Shoes","Crocs Unisex Adult Classic Clog","Liz","Great colour super comfy","Verified Purchase","Reviewed in Australia on 8 January 2024","4.8 out of 5 stars"
"22","Shoes","Crocs Unisex Adult Classic Clog","Bilby","They were perfect. Exact colour, exact size.","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars"
"23","Shoes","Crocs Unisex Adult Classic Clog","Madeline","Just what my grandson wanted hasn’t taken them off","Verified Purchase","Reviewed in Australia on 20 January 2024","3.0 out of 5 stars"
"24","Shoes","Crocs Unisex Adult Classic Clog","Amazon Customer","Bought as a present, good quality build shoe.","Verified Purchase","Reviewed in Australia on 13 January 2024","5.0 out of 5 stars"
"25","Shoes","Crocs Unisex Adult Classic Clog","DW","Comfy crocs exactly what I wanted!","Verified Purchase","Reviewed in Australia on 10 January 2024","5.0 out of 5 stars"
"26","Shoes","Crocs Unisex Adult Classic Clog","Dipesh Ranchhod","Genuine seller, faster than expected delivery, items as described","Verified Purchase","Reviewed in Australia on 8 January 2024","5.0 out of 5 stars"
"27","Shoes","Crocs Unisex Adult Classic Clog","Great product and quick delivery","Amazed how quickly my order arrived, especially so close to Xmas!  Thx for a great experience. The crocks are exactly what i ordered.","Verified Purchase","Reviewed in Australia on 8 January 2024","5.0 out of 5 stars"
"28","Shoes","Crocs Unisex Adult Classic Clog","julie","i love them and now live in them","Verified Purchase","Reviewed in Australia on 16 January 2024","5.0 out of 5 stars"
"29","Shoes","Crocs Unisex Adult Classic Clog","Annette","Exactly as described","Verified Purchase","Reviewed in Australia on 26 December 2023","4.0 out of 5 stars"
"30","Shoes","Crocs Unisex Adult Classic Clog","tam","These are the real deal at a great price. Perfect for everyone. We live the basketball life and these are all the rage but when fees and other expenses come in to it, it really is great that there is cheaper options for these especially if your kids foot grows as fast as mine!","Verified Purchase","Reviewed in Australia on 3 January 2024","5.0 out of 5 stars"
"31","Shoes","Crocs Unisex Adult Classic Clog","Liz","So comfy would buy more","Verified Purchase","Reviewed in Australia on 8 January 2024","4.8 out of 5 stars"
"32","Shoes","Crocs Unisex Adult Classic Clog","Bilby","Reasonable price, super comfy, very fast delivery.","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars"
"33","Shoes","Crocs Unisex Adult Classic Clog","Baydon moore",". I love the colour (Atmosphere), it goes with everything.. I suffer at present with puffy feet (pregnant) and bought a size up.  I've found this problem before with  Crocs and to go 2 sizes up to WUS11 would be just ridiculous.. Would love it if Crocs would change the texture on the inside of the shoe.  I find after a few minutes my feet start to feel a bit tender (I have very soft feet).  I think a 'wave' would be more comfy for texture than little plastic needles.","Verified Purchase","Reviewed in Australia on 30 December 2023","3.0 out of 5 stars"
"34","Shoes","Crocs Unisex Adult Classic Clog","Mooney","These are great, very comfortable and airy.","Verified Purchase","Reviewed in Australia on 31 December 2023","5.0 out of 5 stars"
"35","Shoes","Crocs Unisex Adult Classic Clog","Jazztyke","Good value, product as expected","Verified Purchase","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"36","Shoes","Crocs Unisex Adult Classic Clog","Jazztyke","They are great","Verified Purchase","Reviewed in Australia on 27 December 2023","4.0 out of 5 stars"
"37","Shoes","Crocs Unisex Adult Classic Clog","Paul Dwyer","","Verified Purchase","Reviewed in Australia on 27 December 2023","4.0 out of 5 stars"
"38","Shoes","Crocs Unisex Adult Classic Clog","TJ","Love my new crocs! Speedy delivery too","Verified Purchase","Reviewed in Australia on 1 January 2024","5.0 out of 5 stars"
"39","Shoes","Crocs Unisex Adult Classic Clog","vicki marsh","I love the color so much, it matches my socks lol","Verified Purchase","Reviewed in Australia on 26 December 2023","5.0 out of 5 stars"
"40","Shoes","Crocs Unisex Adult Classic Clog","rak","Arrived quickly in excellent condition","Verified Purchase","Reviewed in Australia on 20 December 2023","4.0 out of 5 stars"
"41","Shoes","Crocs Unisex Adult Classic Clog","Liz","","Verified Purchase","Reviewed in Australia on 8 January 2024","4.8 out of 5 stars"
"42","Shoes","Crocs Unisex Adult Classic Clog","Bilby","Satisfied with the quality, outstanding delivery speed!","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars"
"43","Shoes","Crocs Unisex Adult Classic Clog","Anne","I am a big fan of traditional crocs, and I have had my first pair since 2007, still wearing them a lot and they are beautifully soft and supportive. Got the new pair yesterday and wore them most of the day. Not as soft as the oldies, but I don't think it will take too long to wear them in.I recommend going up a size for Australian feet,as the translation from US sizes makes these a bit snug and fine with bare feet but no room as yet for my winter socks.","Verified Purchase","Reviewed in Australia on 16 December 2023","3.0 out of 5 stars"
"44","Shoes","Crocs Unisex Adult Classic Clog","Anne","Exactly what I expected. True fit. Highly recommend 😊","Verified Purchase","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars"
"45","Shoes","Crocs Unisex Adult Classic Clog","Shaobin Zhang","I finally gave in and bought crocs, they’re so comfortable! The possibilities are endless when it comes to decorating them! (Jibbitz charms and pearls are from temu 😊)","Verified Purchase","Reviewed in Australia on 25 July 2023","5.0 out of 5 stars"
