"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Fotios Karogiannis","Very nice bag, perfect gift for Christmas.","Verified Purchase","Reviewed in Australia on 26 October 2020","4.5 out of 5 stars"
"2","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Kerri L.","Too small smaller than expected it to be can't fit much into bag disappointed very.","Verified Purchase","Reviewed in Australia on 4 October 2023","5.0 out of 5 stars"
"3","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","César Ramírez","Muy buena calidad.","Verified Purchase","Reviewed in Mexico on 13 January 2024","2.0 out of 5 stars"
"4","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Starr","Got this for a serious deal! Noticed that the original tag was left on the bag where it was priced at nearly $65.00 not sure if that was CAD or USD. Regardless, I'd paid $29.00 USD and it is so worth it!","Verified Purchase","Reviewed in Canada on 19 January 2024","5.0 out of 5 stars"
"5","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Me encanto","Tiene mucho espacio","Verified Purchase","Reviewed in the United States on 25 October 2023","5.0 out of 5 stars"
"6","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Vicente caballero Martínez","Excelente material y calidad","Verified Purchase","Reviewed in Mexico on 12 May 2023","5.0 out of 5 stars"
"7","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Fernanda","Original! Excelente qualidade!","Verified Purchase","Reviewed in Brazil on 8 July 2023","5.0 out of 5 stars"
"8","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Cesar cervantes","Buena calidad esta muy práctica y de buen espacio muy bonita","Verified Purchase","Reviewed in Mexico on 30 October 2023","5.0 out of 5 stars"
"9","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Radssan","This is a very slick and comfy bag.","Verified Purchase","Reviewed in the United States on 26 January 2024","5.0 out of 5 stars"
"10","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Elizabeth","Me gustan los materiales","Verified Purchase","Reviewed in Mexico on 20 December 2023","5.0 out of 5 stars"
"11","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Socorro","Me gustó el tamaño, sencilla y práctica","Verified Purchase","Reviewed in Mexico on 28 December 2023","4.5 out of 5 stars"
"12","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","nelly paola caballero ortiz","Excelente tamaño y precio! 🏆","Verified Purchase","Reviewed in Mexico on 13 December 2023","5.0 out of 5 stars"
"13","Bags","Nautica Womens Lakeside Signature Jaquard North South Crossbody Bag","Christine Wilcox","Love this bag, it’s the perfect size for a day and holds glasses, wallet and phone with an extra outside zippered pocket for keys, exactly what I wanted!","Verified Purchase","Reviewed in Canada on 6 August 2023","5.0 out of 5 stars"
